racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
4,14,Capiroska Font,Carl Johan Jepson,Björn Goop,4,778551,9,30.0,2,30.0,2,30.0,1,30.0,9,30.0,99,2.0,34.0,0.3,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.3
5,1,Mister Twister,Wilma Karlsson,Jerry Riordan,3,141400,4,60.0,2,25.0,3,40.0,1,40.0,4,40.0,99,172.0,128.0,0.06666666666666667,0.08,0.075,0.025,0.1
5,2,Balder Face,Linda Sedström,Sofia Aronsson,6,195900,9,25.0,2,25.0,1,40.0,2,30.0,1,10.0,99,17.0,26.0,0.36,0.08,0.025,0.06666666666666667,0.1
5,3,Knock Boots Mearas,Svend Dyhrberg,Tony Jönsson,10,246000,1,110.0,2,25.0,2,30.0,3,50.0,3,40.0,99,14.0,575.0,0.00909090909090909,0.08,0.06666666666666667,0.06,0.075
5,4,Careful Dream,Gustav Johansson,Ulrika Vikström,4,227500,4,35.0,6,110.0,1,40.0,1,30.0,9,30.0,99,8.0,549.0,0.11428571428571428,0.05454545454545454,0.025,0.03333333333333333,0.3
5,5,Patricia Bo,Ken Ecce,Ken Ecce,7,233198,9,110.0,4,110.0,1,50.0,3,30.0,1,30.0,99,12.0,366.0,0.08181818181818182,0.03636363636363636,0.02,0.1,0.03333333333333333
5,6,Kipketer Mearas,Magnus A Djuse,Ulf Stenströmer,21,245000,1,60.0,2,50.0,4,60.0,1,40.0,1,30.0,99,5.0,113.0,0.016666666666666666,0.04,0.06666666666666667,0.025,0.03333333333333333
5,7,Cardin,Carl Johan Jepson,Jonas Gylling,7,210500,1,60.0,9,30.0,3,30.0,1,10.0,9,25.0,99,2.0,999.0,0.016666666666666666,0.3,0.1,0.1,0.36
5,8,Caton,Thomas Linder,Ronny Jönsson,14,221700,1,30.0,1,35.0,2,35.0,1,30.0,3,35.0,99,999.0,999.0,0.03333333333333333,0.02857142857142857,0.05714285714285714,0.03333333333333333,0.08571428571428572
5,9,Vancouver High,Stefan Persson,Lars I Nilsson,17,174400,2,60.0,9,110.0,9,110.0,2,60.0,1,40.0,99,0.0,169.0,0.03333333333333333,0.08181818181818182,0.08181818181818182,0.03333333333333333,0.025
5,10,Kaviaren,Thomas Uhrberg,Håkan K Persson,4,182000,2,30.0,4,35.0,6,60.0,1,30.0,1,30.0,99,28.0,29.0,0.06666666666666667,0.11428571428571428,0.1,0.03333333333333333,0.03333333333333333
5,11,Pontiac,Christina Tilp,Christina Tilp,4,245894,1,30.0,3,30.0,8,110.0,2,35.0,1,30.0,99,999.0,567.0,0.03333333333333333,0.1,0.07272727272727272,0.05714285714285714,0.03333333333333333
5,12,Qillerbee,Joakim Lövgren,Joakim Lövgren,4,242800,3,35.0,2,30.0,1,40.0,9,110.0,1,25.0,99,11.0,10.0,0.08571428571428572,0.06666666666666667,0.025,0.08181818181818182,0.04
6,1,Frankie Godiva,Markus Waldmüller,Conrad Lugauer,15,809500,1,35.0,1,40.0,6,110.0,3,110.0,1,30.0,99,99.0,14.0,0.02857142857142857,0.025,0.05454545454545454,0.02727272727272727,0.03333333333333333
6,2,Luca Vialli Boko,Magnus A Djuse,Ulf Stenströmer,5,764800,1,60.0,9,100.0,9,100.0,1,30.0,2,75.0,99,5.0,113.0,0.016666666666666666,0.09,0.09,0.03333333333333333,0.02666666666666667
6,3,Mellby Indigo,Robert Bergh,Robert Bergh,4,788500,8,250.0,3,40.0,4,150.0,9,540.0,2,60.0,99,62.0,62.0,0.032,0.075,0.02666666666666667,0.016666666666666666,0.03333333333333333
6,4,So Far Away Ås,André Eklundh,Hanna Lähdekorpi,2,840100,2,60.0,9,60.0,5,30.0,6,40.0,3,30.0,99,89.0,131.0,0.03333333333333333,0.15,0.16666666666666666,0.15,0.1
6,5,Here's Johnny Sox,Adrian Kolgjini,Lars I Nilsson,19,691544,9,60.0,9,110.0,1,220.0,1,110.0,2,110.0,99,78.0,169.0,0.15,0.08181818181818182,0.004545454545454545,0.00909090909090909,0.01818181818181818
